orthographe	phonetique
braillerons	bRaj@Ro~
brailleront	bRaj@Ro~
brailles	bRaj
braillez	bRaje
brailliez	bRajje
braillions	bRajio~
braillons	bRajo~
braillâmes	bRajam
braillât	bRaja
braillâtes	bRajat
braillèrent	bRajER
braillé	bRaje
braillée	bRaje
braillées	bRaje
braillés	bRaje
brain-trust	bREntR9st
brain-trusts	bREntR9st
brainstorming	bREnstORmig
brainstormings	bREnstORmig
braira	bRERa
brairaient	bRERE
brairait	bRERE
braire	bRER
brairont	bRERo~
braisa	bReza
braisai	bReze
braisaient	bRezE
braisais	bRezE
braisait	bRezE
braisant	bRezA
braisas	bReza
braisasse	bRezas
braisassent	bRezas
braisasses	bRezas
braisassiez	bRezasje
braisassions	bRezasjo~
braise	bREz
braisent	bREz
braiser	bReze
braisera	bRez@Ra
braiserai	bRez@Re
braiseraient	bRez@RE
braiserais	bRez@RE
braiserait	bRez@RE
braiseras	bRez@Ra
braiserez	bRez@Re
braiseriez	bRez@Rje
braiserions	bRez@Rjo~
braiserons	bRez@Ro~
braiseront	bRez@Ro~
braises	bREz
braisez	bReze
braisiez	bRezje
braisions	bRezjo~
braisons	bRezo~
braisâmes	bRezam
braisât	bReza
braisâtes	bRezat
braisèrent	bRezER
braisé	bReze
braisée	bReze
braisées	bReze
braisés	bReze
brait	bRE
brama	bRama
bramai	bRame
bramaient	bRamE
bramais	bRamE
bramait	bRamE
bramant	bRamA
bramas	bRama
bramasse	bRamas
bramassent	bRamas
bramasses	bRamas
bramassiez	bRamasje
bramassions	bRamasjo~
brame	bRam
brament	bRam
bramer	bRame
bramera	bRam@Ra
bramerai	bRam@Re
brameraient	bRam@RE
bramerais	bRam@RE
bramerait	bRam@RE
brameras	bRam@Ra
bramerez	bRam@Re
brameriez	bRam@Rje
bramerions	bRam@Rjo~
bramerons	bRam@Ro~
brameront	bRam@Ro~
brames	bRam
bramez	bRame
bramiez	bRamje
bramions	bRamjo~
bramons	bRamo~
bramâmes	bRamam
bramât	bRama
bramâtes	bRamat
bramèrent	bRamER
bramé	bRame
bramée	bRame
bramées	bRame
bramés	bRame
brancard	bRAkaR
brancardier	bRAkaRdje
brancardiers	bRAkaRdje
brancards	bRAkaR
brancha	bRASa
branchage	bRASaZ
branchages	bRASaZ
branchai	bRASe
branchaient	bRASE
branchais	bRASE
branchait	bRASE
branchant	bRASA
branchas	bRASa
branchasse	bRASas
branchassent	bRASas
branchasses	bRASas
branchassiez	bRASasje
branchassions	bRASasjo~
branche	bRAS
branchement	bRAS@mA
branchements	bRAS@mA
branchent	bRAS
brancher	bRASe
branchera	bRAS@Ra
brancherai	bRAS@Re
brancheraient	bRAS@RE
brancherais	bRAS@RE
brancherait	bRAS@RE
brancheras	bRAS@Ra
brancherez	bRAS@Re
brancheriez	bRAS@Rje
brancherions	bRAS@Rjo~
brancherons	bRAS@Ro~
brancheront	bRAS@Ro~
branches	bRAS
branchette	bRASEt
branchettes	bRASEt
branchez	bRASe
branchie	bRASi
branchies	bRASi
branchiez	bRASje
branchions	bRASjo~
branchons	bRASo~
branchâmes	bRASam
branchât	bRASa
branchâtes	bRASat
branchèrent	bRASER
branché	bRASe
branchée	bRASe
branchées	bRASe
branchés	bRASe
brandi	bRAdi
brandie	bRAdi
brandies	bRAdi
brandir	bRAdiR
brandira	bRAdiRa
brandirai	bRAdiRe
brandiraient	bRAdiRE
brandirais	bRAdiRE
brandirait	bRAdiRE
brandiras	bRAdiRa
brandirent	bRAdiR
brandirez	bRAdiRe
brandiriez	bRAdiRje
brandirions	bRAdiRjo~
brandirons	bRAdiRo~
brandiront	bRAdiRo~
brandis	bRAdi
brandissaient	bRAdisE
brandissais	bRAdisE
brandissait	bRAdisE
brandissant	bRAdisA
brandisse	bRAdis
brandissent	bRAdis
brandisses	bRAdis
brandissez	bRAdise
brandissiez	bRAdisje
brandissions	bRAdisjo~
brandissons	bRAdiso~
brandit	bRAdi
brandon	bRAdo~
brandons	bRAdo~
brandîmes	bRAdim
brandît	bRAdi
brandîtes	bRAdit
branla	bRAla
branlai	bRAle
branlaient	bRAlE
branlais	bRAlE
branlait	bRAlE
branlant	bRAlA
branlante	bRAlAt
branlantes	bRAlAt
branlants	bRAlA
branlas	bRAla
branlasse	bRAlas
branlassent	bRAlas
branlasses	bRAlas
branlassiez	bRAlasje
branlassions	bRAlasjo~
branle	bRAl
branle-bas	bRAlba
branlent	bRAl
branler	bRAle
branlera	bRAl@Ra
branlerai	bRAl@Re
branleraient	bRAl@RE
branlerais	bRAl@RE
branlerait	bRAl@RE
branleras	bRAl@Ra
branlerez	bRAl@Re
branleriez	bRAl@Rje
branlerions	bRAl@Rjo~
branlerons	bRAl@Ro~
branleront	bRAl@Ro~
branles	bRAl
branlez	bRAle
branliez	bRAlje
branlions	bRAljo~
branlons	bRAlo~
branlâmes	bRAlam
branlât	bRAla
branlâtes	bRAlat
branlèrent	bRAlER
branlé	bRAle
branlée	bRAle
branlées	bRAle
branlés	bRAle
braqua	bRaka
braquage	bRakaZ
braquages	bRakaZ
braquai	bRake
braquaient	bRakE
braquais	bRakE
braquait	bRakE
braquant	bRakA
braquas	bRaka
braquasse	bRakas
braquassent	bRakas
braquasses	bRakas
braquassiez	bRakasje
braquassions	bRakasjo~
braque	bRak
braquent	bRak
braquer	bRake
braquera	bRak@Ra
braquerai	bRak@Re
braqueraient	bRak@RE
braquerais	bRak@RE
braquerait	bRak@RE
braqueras	bRak@Ra
braquerez	bRak@Re
braqueriez	bRak@Rje
braquerions	bRak@Rjo~
braquerons	bRak@Ro~
braqueront	bRak@Ro~
braques	bRak
braquet	bRakE
braquets	bRakE
braquez	bRake
braquiez	bRakje
braquions	bRakjo~
braquons	bRako~
braquâmes	bRakam
braquât	bRaka
braquâtes	bRakat
braquèrent	bRakER
braqué	bRake
braquée	bRake
braquées	bRake
braqués	bRake
bras	bRa
brasero	bRazeRo
braseros	bRazeRo
brasier	bRazje
brasiers	bRazje
brassa	bRasa
brassage	bRasaZ
brassages	bRasaZ
brassai	bRase
brassaient	bRasE
brassais	bRasE
brassait	bRasE
brassant	bRasA
brassard	bRasaR
brassards	bRasaR
brassas	bRasa
brassasse	bRasas
brassassent	bRasas
brassasses	bRasas
brassassiez	bRasasje
brassassions	bRasasjo~
brasse	bRas
brassent	bRas
brasser	bRase
brassera	bRas@Ra
brasserai	bRas@Re
brasseraient	bRas@RE
brasserais	bRas@RE
brasserait	bRas@RE
brasseras	bRas@Ra
brasserez	bRas@Re
brasserie	bRas@Ri
brasseries	bRas@Ri
brasseriez	bRas@Rje
brasserions	bRas@Rjo~
brasserons	bRas@Ro~
brasseront	bRas@Ro~
brasses	bRas
brasseur	bRas9R
brasseurs	bRas9R
brassez	bRase
brassiez	bRasje
brassions	bRasjo~
brassière	bRasjER
brassières	bRasjER
brassons	bRaso~
brassâmes	bRasam
brassât	bRasa
brassâtes	bRasat
brassèrent	bRasER
brassé	bRase
brassée	bRase
brassées	bRase
brassés	bRase
brava	bRava
bravache	bRavaS
bravaches	bRavaS
bravade	bRavad
bravades	bRavad
bravai	bRave
bravaient	bRavE
bravais	bRavE
bravait	bRavE
bravant	bRavA
bravas	bRava
bravasse	bRavas
bravassent	bRavas
bravasses	bRavas
bravassiez	bRavasje
bravassions	bRavasjo~
brave	bRav
bravement	bRav@mA
bravent	bRav
braver	bRave
bravera	bRav@Ra
braverai	bRav@Re
braveraient	bRav@RE
braverais	bRav@RE
braverait	bRav@RE
braveras	bRav@Ra
braverez	bRav@Re
braveriez	bRav@Rje
braverions	bRav@Rjo~
braverons	bRav@Ro~
braveront	bRav@Ro~
braves	bRav
bravez	bRave
braviez	bRavje
bravions	bRavjo~
bravo	bRavo
bravons	bRavo~
bravos	bRavo
bravoure	bRavuR
bravoures	bRavuR
bravâmes	bRavam
bravât	bRava
bravâtes	bRavat
bravèrent	bRavER
bravé	bRave
bravée	bRave
bravées	bRave
bravés	bRave
brayaient	bREjE
brayait	bREjE
brayant	bREjA
brebis	bR@bi
bredouilla	bR@duja
bredouillai	bR@duje
bredouillaient	bR@dujE
bredouillais	bR@dujE
bredouillait	bR@dujE
bredouillant	bR@dujA
bredouillas	bR@duja
bredouillasse	bR@dujas
bredouillassent	bR@dujas
bredouillasses	bR@dujas
bredouillassiez	bR@dujasje
bredouillassions	bR@dujasjo~
bredouille	bR@duj
bredouillement	bR@duj@mA
bredouillements	bR@duj@mA
bredouillent	bR@duj
bredouiller	bR@duje
bredouillera	bR@duj@Ra
bredouillerai	bR@duj@Re
bredouilleraient	bR@duj@RE
bredouillerais	bR@duj@RE
bredouillerait	bR@duj@RE
bredouilleras	bR@duj@Ra
bredouillerez	bR@duj@Re
bredouilleriez	bR@duj@Rje
bredouillerions	bR@duj@Rjo~
bredouillerons	bR@duj@Ro~
bredouilleront	bR@duj@Ro~
bredouilles	bR@duj
bredouillez	bR@duje
bredouilliez	bR@dujje
bredouillions	bR@dujio~
bredouillons	bR@dujo~
bredouillâmes	bR@dujam
bredouillât	bR@duja
bredouillâtes	bR@dujat
bredouillèrent	bR@dujER
bredouillé	bR@duje
bredouillée	bR@duje
bredouillées	bR@duje
bredouillés	bR@duje
bref	bREf
brefs	bREf
brelan	bR@lA
brelans	bR@lA
breloque	bR@lOk
breloques	bR@lOk
bretelle	bR@tEl
bretelles	bR@tEl
breton	bR@to~
bretonne	bR@tOn
bretonnes	bR@tOn
bretons	bR@to~
breuvage	bR9vaZ
breuvages	bR9vaZ
brevet	bR@vE
breveta	bR@v@ta
brevetai	bR@v@te
brevetaient	bR@v@tE
brevetais	bR@v@tE
brevetait	bR@v@tE
brevetant	bR@v@tA
brevetas	bR@v@ta
brevetasse	bR@v@tas
brevetassent	bR@v@tas
brevetasses	bR@v@tas
brevetassiez	bR@v@tasje
brevetassions	bR@v@tasjo~
breveter	bR@v@te
brevetez	bR@v@te
brevetiez	bR@v@tje
brevetions	bR@v@tjo~
brevetons	bR@v@to~
brevets	bR@vE
brevette	bR@vEt
brevettent	bR@vEt
brevettera	bR@vEt@Ra
brevetterai	bR@vEt@Re
brevetteraient	bR@vEt@RE
brevetterais	bR@vEt@RE
brevetterait	bR@vEt@RE
brevetteras	bR@vEt@Ra
brevetterez	bR@vEt@Re
brevetteriez	bR@vEt@Rje
brevetterions	bR@vEt@Rjo~
brevetterons	bR@vEt@Ro~
brevetteront	bR@vEt@Ro~
brevettes	bR@vEt
brevetâmes	bR@v@tam
brevetât	bR@v@ta
brevetâtes	bR@v@tat
brevetèrent	bR@v@tER
breveté	bR@v@te
brevetée	bR@v@te
brevetées	bR@v@te
brevetés	bR@v@te
bribe	bRib
bribes	bRib
bric-à-brac	bRikabRak
bricola	bRikOla
bricolage	bRikOlaZ
bricolages	bRikOlaZ
bricolai	bRikOle
bricolaient	bRikOlE
bricolais	bRikOlE
bricolait	bRikOlE
bricolant	bRikOlA
bricolas	bRikOla
bricolasse	bRikOlas
bricolassent	bRikOlas
bricolasses	bRikOlas
bricolassiez	bRikOlasje
bricolassions	bRikOlasjo~
bricole	bRikOl
bricolent	bRikOl
bricoler	bRikOle
bricolera	bRikOl@Ra
bricolerai	bRikOl@Re
bricoleraient	bRikOl@RE
bricolerais	bRikOl@RE
bricolerait	bRikOl@RE
bricoleras	bRikOl@Ra
bricolerez	bRikOl@Re
bricoleriez	bRikOl@Rje
bricolerions	bRikOl@Rjo~
bricolerons	bRikOl@Ro~
bricoleront	bRikOl@Ro~
bricoles	bRikOl
bricoleur	bRikOl9R
bricoleurs	bRikOl9R
bricoleuse	bRikOl2z
bricoleuses	bRikOl2z
bricolez	bRikOle
bricoliez	bRikOlje
bricolions	bRikOljo~
bricolons	bRikOlo~
bricolâmes	bRikOlam
bricolât	bRikOla
bricolâtes	bRikOlat
bricolèrent	bRikOlER
bricolé	bRikOle
bricolée	bRikOle
bricolées	bRikOle
bricolés	bRikOle
brida	bRida
bridai	bRide
bridaient	bRidE
bridais	bRidE
bridait	bRidE
bridant	bRidA
bridas	bRida
bridasse	bRidas
bridassent	bRidas
bridasses	bRidas
bridassiez	bRidasje
bridassions	bRidasjo~
bride	bRid
brident	bRid
brider	bRide
bridera	bRid@Ra
briderai	bRid@Re
brideraient	bRid@RE
briderais	bRid@RE
briderait	bRid@RE
brideras	bRid@Ra
briderez	bRid@Re
brideriez	bRid@Rje
briderions	bRid@Rjo~
briderons	bRid@Ro~
brideront	bRid@Ro~
brides	bRid
bridez	bRide
bridge	bRidZ
bridges	bRidZ
bridiez	bRidje
bridions	bRidjo~
bridons	bRido~
bridâmes	bRidam
bridât	bRida
bridâtes	bRidat
bridèrent	bRidER
bridé	bRide
bridée	bRide
bridées	bRide
bridés	bRide
brigade	bRigad
brigades	bRigad
brigadier	bRigadje
brigadiers	bRigadje
brigand	bRigA
briganda	bRigAda
brigandage	bRigAdaZ
brigandages	bRigAdaZ
brigandai	bRigAde
brigandaient	bRigAdE
brigandais	bRigAdE
brigandait	bRigAdE
brigandant	bRigAdA
brigandas	bRigAda
brigandasse	bRigAdas
brigandassent	bRigAdas
brigandasses	bRigAdas
brigandassiez	bRigAdasje
brigandassions	bRigAdasjo~
brigande	bRigAd
brigandent	bRigAd
brigander	bRigAde
brigandera	bRigAd@Ra
briganderai	bRigAd@Re
briganderaient	bRigAd@RE
briganderais	bRigAd@RE
briganderait	bRigAd@RE
briganderas	bRigAd@Ra
briganderez	bRigAd@Re
briganderiez	bRigAd@Rje
briganderions	bRigAd@Rjo~
briganderons	bRigAd@Ro~
briganderont	bRigAd@Ro~
brigandes	bRigAd
brigandez	bRigAde
brigandiez	bRigAdje
brigandions	bRigAdjo~
brigandons	bRigAdo~
brigands	bRigA
brigandâmes	bRigAdam
brigandât	bRigAda
brigandâtes	bRigAdat
brigandèrent	bRigAdER
brigandé	bRigAde
brigandée	bRigAde
brigandées	bRigAde
brigandés	bRigAde
brigua	bRiga
briguai	bRige
briguaient	bRigE
briguais	bRigE
briguait	bRigE
briguant	bRigA
briguas	bRiga
briguasse	bRigas
briguassent	bRigas
briguasses	bRigas
briguassiez	bRigasje
briguassions	bRigasjo~
brigue	bRig
briguent	bRig
briguer	bRige
briguera	bRig@Ra
briguerai	bRig@Re
brigueraient	bRig@RE
briguerais	bRig@RE
briguerait	bRig@RE
brigueras	bRig@Ra
briguerez	bRig@Re
brigueriez	bRig@Rje
briguerions	bRig@Rjo~
briguerons	bRig@Ro~
brigueront	bRig@Ro~
brigues	bRig
briguez	bRige
briguiez	bRigje
briguions	bRigjo~
briguons	bRigo~
briguâmes	bRigam
briguât	bRiga
briguâtes	bRigat
briguèrent	bRigER
brigué	bRige
briguée	bRige
briguées	bRige
brigués	bRige
brilla	bRija
brillai	bRije
brillaient	bRijE
brillais	bRijE
brillait	bRijE
brillamment	bRijamA
brillance	bRijAs
brillances	bRijAs
brillant	bRijA
brillante	bRijAt
brillantes	bRijAt
brillantine	bRijAtin
brillantines	bRijAtin
brillants	bRijA
brillas	bRija
brillasse	bRijas
brillassent	bRijas
brillasses	bRijas
brillassiez	bRijasje
brillassions	bRijasjo~
brille	bRij
brillent	bRij
briller	bRije
brillera	bRij@Ra
brillerai	bRij@Re
brilleraient	bRij@RE
brillerais	bRij@RE
brillerait	bRij@RE
brilleras	bRij@Ra
brillerez	bRij@Re
brilleriez	bRij@Rje
brillerions	bRij@Rjo~
brillerons	bRij@Ro~
brilleront	bRij@Ro~
brilles	bRij
brillez	bRije
brilliez	bRijie
brillions	bRijio~
brillons	bRijo~
brillâmes	bRijam
brillât	bRija
brillâtes	bRijat
brillèrent	bRijER
brillé	bRije
brillée	bRije
brillées	bRije
brillés	bRije
brima	bRima
brimade	bRimad
brimades	bRimad
brimai	bRime
brimaient	bRimE
brimais	bRimE
brimait	bRimE
brimant	bRimA
brimas	bRima
brimasse	bRimas
brimassent	bRimas
brimasses	bRimas
brimassiez	bRimasje
brimassions	bRimasjo~
brime	bRim
briment	bRim
brimer	bRime
brimera	bRim@Ra
brimerai	bRim@Re
brimeraient	bRim@RE
brimerais	bRim@RE
brimerait	bRim@RE
brimeras	bRim@Ra
brimerez	bRim@Re
brimeriez	bRim@Rje
brimerions	bRim@Rjo~
brimerons	bRim@Ro~
brimeront	bRim@Ro~
brimes	bRim
brimez	bRime
brimiez	bRimje
brimions	bRimjo~
brimons	bRimo~
brimâmes	bRimam
brimât	bRima
brimâtes	bRimat
brimèrent	bRimER
brimé	bRime
brimée	bRime
brimées	bRime
brimés	bRime
brin	bRe~
brindille	bRe~dij
brindilles	bRe~dij
bringuebala	bRe~g@bala
bringuebalai	bRe~g@bale
bringuebalaient	bRe~g@balE
bringuebalais	bRe~g@balE
bringuebalait	bRe~g@balE
bringuebalant	bRe~g@balA
bringuebalas	bRe~g@bala
bringuebalasse	bRe~g@balas
bringuebalassent	bRe~g@balas
bringuebalasses	bRe~g@balas
bringuebalassiez	bRe~g@balasje
bringuebalassions	bRe~g@balasjo~
bringuebale	bRe~g@bal
bringuebalent	bRe~g@bal
bringuebaler	bRe~g@bale
bringuebalera	bRe~g@bal@Ra
bringuebalerai	bRe~g@bal@Re
bringuebaleraient	bRe~g@bal@RE
bringuebalerais	bRe~g@bal@RE
bringuebalerait	bRe~g@bal@RE
bringuebaleras	bRe~g@bal@Ra
bringuebalerez	bRe~g@bal@Re
bringuebaleriez	bRe~g@bal@Rje
bringuebalerions	bRe~g@bal@Rjo~
bringuebalerons	bRe~g@bal@Ro~
bringuebaleront	bRe~g@bal@Ro~
bringuebales	bRe~g@bal
bringuebalez	bRe~g@bale
bringuebaliez	bRe~g@balje
bringuebalions	bRe~g@baljo~
bringuebalons	bRe~g@balo~
bringuebalâmes	bRe~g@balam
bringuebalât	bRe~g@bala
bringuebalâtes	bRe~g@balat
bringuebalèrent	bRe~g@balER
bringuebalé	bRe~g@bale
bringuebalée	bRe~g@bale
bringuebalées	bRe~g@bale
bringuebalés	bRe~g@bale
brins	bRe~
brio	bRijo
brioche	bRijOS
brioches	bRijOS
brios	bRijo
briqua	bRika
briquai	bRike
briquaient	bRikE
briquais	bRikE
briquait	bRikE
briquant	bRikA
briquas	bRika
briquasse	bRikas
briquassent	bRikas
briquasses	bRikas
briquassiez	bRikasje
briquassions	bRikasjo~
brique	bRik
briquent	bRik
briquer	bRike
briquera	bRik@Ra
briquerai	bRik@Re
briqueraient	bRik@RE
briquerais	bRik@RE
briquerait	bRik@RE
briqueras	bRik@Ra
briquerez	bRik@Re
briqueriez	bRik@Rje
briquerions	bRik@Rjo~
briquerons	bRik@Ro~
briqueront	bRik@Ro~
briques	bRik
briquet	bRikE
briqueterie	bRikEt@Ri
briqueteries	bRikEt@Ri
briquets	bRikE
briquette	bRikEt
briquettes	bRikEt
briquez	bRike
briquiez	bRikje
briquions	bRikjo~
briquons	bRiko~
briquâmes	bRikam
briquât	bRika
briquâtes	bRikat
briquèrent	bRikER
briqué	bRike
briquée	bRike
briquées	bRike
briqués	bRike
brisa	bRiza
brisai	bRize
brisaient	bRizE
brisais	bRizE
brisait	bRizE
brisant	bRizA
brisants	bRizA
brisas	bRiza
brisasse	bRizas
brisassent	bRizas
brisasses	bRizas
brisassiez	bRizasje
brisassions	bRizasjo~
brise	bRiz
brise-jet	bRiz@ZE
brise-lame	bRizlam
brise-lames	bRizlam
brise-tout	bRiztu
brise-vent	bRiz@vA
brisent	bRiz
briser	bRize
brisera	bRiz@Ra
briserai	bRiz@Re
briseraient	bRiz@RE
briserais	bRiz@RE
briserait	bRiz@RE
briseras	bRiz@Ra
briserez	bRiz@Re
briseriez	bRiz@Rje
briserions	bRiz@Rjo~
briserons	bRiz@Ro~
briseront	bRiz@Ro~
brises	bRiz
briseur	bRiz9R
briseurs	bRiz9R
brisez	bRize
brisiez	bRizje
brisions	bRizjo~
brisons	bRizo~
brisure	bRizyR
brisures	bRizyR
brisâmes	bRizam
brisât	bRiza
brisâtes	bRizat
brisèrent	bRizER
brisé	bRize
brisée	bRize
brisées	bRize
brisés	bRize
britannique	bRitanik
britanniques	bRitanik
brièvement	bRijEv@mA
brièveté	bRijEv@te
brièvetés	bRijEv@te
broc	bRo
brocanta	bROkAta
brocantai	bROkAte
brocantaient	bROkAtE
brocantais	bROkAtE
brocantait	bROkAtE
brocantant	bROkAtA
brocantas	bROkAta
brocantasse	bROkAtas
brocantassent	bROkAtas
brocantasses	bROkAtas
brocantassiez	bROkAtasje
brocantassions	bROkAtasjo~
brocante	bROkAt
brocantent	bROkAt
brocanter	bROkAte
brocantera	bROkAt@Ra
brocanterai	bROkAt@Re
brocanteraient	bROkAt@RE
brocanterais	bROkAt@RE
brocanterait	bROkAt@RE
brocanteras	bROkAt@Ra
brocanterez	bROkAt@Re
brocanteriez	bROkAt@Rje
brocanterions	bROkAt@Rjo~
brocanterons	bROkAt@Ro~
brocanteront	bROkAt@Ro~
brocantes	bROkAt
brocanteur	bROkAt9R
brocanteurs	bROkAt9R
brocantez	bROkAte
brocantiez	bROkAtje
brocantions	bROkAtjo~
brocantons	bROkAto~
brocantâmes	bROkAtam
brocantât	bROkAta
brocantâtes	bROkAtat
brocantèrent	bROkAtER
brocanté	bROkAte
brocantée	bROkAte
brocantées	bROkAte
brocantés	bROkAte
brocarda	bROkaRda
brocardai	bROkaRde
brocardaient	bROkaRdE
brocardais	bROkaRdE
brocardait	bROkaRdE
brocardant	bROkaRdA
brocardas	bROkaRda
brocardasse	bROkaRdas
brocardassent	bROkaRdas
brocardasses	bROkaRdas
brocardassiez	bROkaRdasje
brocardassions	bROkaRdasjo~
brocarde	bROkaRd
brocardent	bROkaRd
brocarder	bROkaRde
brocardera	bROkaRd@Ra
brocarderai	bROkaRd@Re
brocarderaient	bROkaRd@RE
brocarderais	bROkaRd@RE
brocarderait	bROkaRd@RE
brocarderas	bROkaRd@Ra
brocarderez	bROkaRd@Re
brocarderiez	bROkaRd@Rje
brocarderions	bROkaRd@Rjo~
brocarderons	bROkaRd@Ro~
brocarderont	bROkaRd@Ro~
brocardes	bROkaRd
brocardez	bROkaRde
brocardiez	bROkaRdje
brocardions	bROkaRdjo~
brocardons	bROkaRdo~
brocardâmes	bROkaRdam
brocardât	bROkaRda
brocardâtes	bROkaRdat
brocardèrent	bROkaRdER
brocardé	bROkaRde
brocardée	bROkaRde
brocardées	bROkaRde
brocardés	bROkaRde
broche	bROS
broches	bROS
brochet	bROSE
brochets	bROSE
brochette	bROSEt
brochettes	bROSEt
brochure	bROSyR
brochures	bROSyR
broché	bROSe
brochée	bROSe
brochées	bROSe
brochés	bROSe
brocoli	bROkOli
brocolis	bROkOli
brocs	bRo
broda	bROda
brodai	bROde
brodaient	bROdE
brodais	bROdE
brodait	bROdE
brodant	bROdA
brodas	bROda
brodasse	bROdas
brodassent	bROdas
brodasses	bROdas
brodassiez	bROdasje
brodassions	bROdasjo~
brode	bROd
brodent	bROd
broder	bROde
brodera	bROd@Ra
broderai	bROd@Re
broderaient	bROd@RE
broderais	bROd@RE
broderait	bROd@RE
broderas	bROd@Ra
broderez	bROd@Re
broderie	bROd@Ri
broderies	bROd@Ri
broderiez	bROd@Rje
broderions	bROd@Rjo~
broderons	bROd@Ro~
broderont	bROd@Ro~
brodes	bROd
brodez	bROde
brodiez	bROdje
brodions	bROdjo~
brodons	bROdo~
brodâmes	bROdam
brodât	bROda
brodâtes	bROdat
brodèrent	bROdER
brodé	bROde
brodée	bROde
brodées	bROde
brodés	bROde
broie	bRwa
broient	bRwa
broiera	bRwaRa
broierai	bRwaRe
broieraient	bRwaRE
broierais	bRwaRE
broierait	bRwaRE
broieras	bRwaRa
broierez	bRwaRe
broieriez	bRwaRje
broierions	bRwaRjo~
broierons	bRwaRo~
broieront	bRwaRo~
broies	bRwa
bromure	bROmyR
bromures	bROmyR
broncha	bRo~Sa
bronchai	bRo~Se
bronchaient	bRo~SE
bronchais	bRo~SE
bronchait	bRo~SE
bronchant	bRo~SA
bronchas	bRo~Sa
bronchasse	bRo~Sas
bronchassent	bRo~Sas
bronchasses	bRo~Sas
bronchassiez	bRo~Sasje
bronchassions	bRo~Sasjo~
bronche	bRo~S
bronchent	bRo~S
broncher	bRo~Se
bronchera	bRo~S@Ra
broncherai	bRo~S@Re
broncheraient	bRo~S@RE
broncherais	bRo~S@RE
broncherait	bRo~S@RE
broncheras	bRo~S@Ra
broncherez	bRo~S@Re
broncheriez	bRo~S@Rje
broncherions	bRo~S@Rjo~
broncherons	bRo~S@Ro~
broncheront	bRo~S@Ro~
bronches	bRo~S
bronchez	bRo~Se
bronchiez	bRo~Sje
bronchions	bRo~Sjo~
bronchite	bRo~Sit
bronchites	bRo~Sit
broncho-pneumonie	bRo~kopn2moni
broncho-pneumonies	bRo~kopn2moni
bronchons	bRo~So~
bronchâmes	bRo~Sam
bronchât	bRo~Sa
bronchâtes	bRo~Sat
bronchèrent	bRo~SER
bronché	bRo~Se
bronchée	bRo~Se
bronchées	bRo~Se
bronchés	bRo~Se
bronza	bRo~za
bronzage	bRo~zaZ
bronzages	bRo~zaZ
bronzai	bRo~ze
bronzaient	bRo~zE
bronzais	bRo~zE
bronzait	bRo~zE
bronzant	bRo~zA
bronzas	bRo~za
bronzasse	bRo~zas
bronzassent	bRo~zas
bronzasses	bRo~zas
bronzassiez	bRo~zasje
bronzassions	bRo~zasjo~
bronze	bRo~z
bronzent	bRo~z
bronzer	bRo~ze
bronzera	bRo~z@Ra
bronzerai	bRo~z@Re
bronzeraient	bRo~z@RE
bronzerais	bRo~z@RE
bronzerait	bRo~z@RE
bronzeras	bRo~z@Ra
bronzerez	bRo~z@Re
bronzeriez	bRo~z@Rje
bronzerions	bRo~z@Rjo~
bronzerons	bRo~z@Ro~
bronzeront	bRo~z@Ro~
bronzes	bRo~z
bronzez	bRo~ze
bronziez	bRo~zje
bronzions	bRo~zjo~
bronzons	bRo~zo~
bronzâmes	bRo~zam
bronzât	bRo~za
bronzâtes	bRo~zat
bronzèrent	bRo~zER
bronzé	bRo~ze
bronzée	bRo~ze
bronzées	bRo~ze
bronzés	bRo~ze
brossa	bROsa
brossai	bROse
brossaient	bROsE
brossais	bROsE
brossait	bROsE
brossant	bROsA
brossas	bROsa
brossasse	bROsas
brossassent	bROsas
brossasses	bROsas
brossassiez	bROsasje
brossassions	bROsasjo~
brosse	bROs
brossent	bROs
brosser	bROse
brossera	bROs@Ra
brosserai	bROs@Re
brosseraient	bROs@RE
brosserais	bROs@RE
brosserait	bROs@RE
brosseras	bROs@Ra
brosserez	bROs@Re
brosseriez	bROs@Rje
brosserions	bROs@Rjo~
brosserons	bROs@Ro~
brosseront	bROs@Ro~
brosses	bROs
brossez	bROse
brossiez	bROsje
brossions	bROsjo~
brossons	bROso~
brossâmes	bROsam
brossât	bROsa
brossâtes	bROsat
brossèrent	bROsER
brossé	bROse
brossée	bROse
brossées	bROse
brossés	bROse
brouette	bRuEt
brouettes	bRuEt
brouhaha	bRuaa
brouhahas	bRuaa
brouilla	bRuja
brouillage	bRujaZ
brouillages	bRujaZ
brouillai	bRuje
brouillaient	bRujE
brouillais	bRujE
brouillait	bRujE
brouillant	bRujA
brouillard	bRujaR
brouillards	bRujaR
brouillas	bRuja
brouillasse	bRujas
brouillassent	bRujas
brouillasses	bRujas
brouillassiez	bRujasje
brouillassions	bRujasjo~
brouille	bRuj
brouillent	bRuj
brouiller	bRuje
brouillera	bRuj@Ra
brouillerai	bRuj@Re
brouilleraient	bRuj@RE
brouillerais	bRuj@RE
brouillerait	bRuj@RE
brouilleras	bRuj@Ra
brouillerez	bRuj@Re
brouilleriez	bRuj@Rje
brouillerions	bRuj@Rjo~
brouillerons	bRuj@Ro~
brouilleront	bRuj@Ro~
brouilles	bRuj
brouillez	bRuje
brouilliez	bRujie
brouillions	bRujio~
brouillon	bRujo~
brouillonne	bRujOn
